key,en,cs,target,notes,status
app.title,VetBara,VetBara,VetBara,Target intentionally blank for reviewer translation.,needs_review
app.subtitle,Pilot digital examination workspace,Pilotní digitální zkušební prostředí,Pilot radni prostor za digitalno ispitivanje,Target intentionally blank for reviewer translation.,needs_review
language.label,Language,Jazyk,jezik,Target intentionally blank for reviewer translation.,needs_review
role.centre,Centre,Centrum,Centre,Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
role.candidate,Candidate,Kandidát,Candidate,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
role.examiner,Examiner,Zkoušející,Examiner,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
scanner.open,Open QR scanner,Otevřít QR skener,otvori QR scanner,Target intentionally blank for reviewer translation.,needs_review
scanner.close,Close scanner,Zavřít skener,Zatvori skener,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.title,Pilot smoke-test checklist,Kontrolní pilotní smoke-test checklist,Kontrolni popis pilot smoke-testa,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,"Použijte po každém nasazení pro ověření, že pilotní workflow stále funguje.",Upotrijebite nakon svakog deploya kako biste potvrdili da pilot tijek rada i dalje funkcionira.,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.loadCentre,Load Centre Setup,Načíst Centre Setup,ucitaj Centre Setup,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,"Ověřit, že jsou vidět kandidáti a zkoušející",potvrdi kandidati and ispitivaci are vidljivo,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.testPackage,Import or verify test package,Importovat nebo ověřit testový balíček,uvezi or verify test paket,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Otevřít Candidate QR a uložit odpověď ve written test,otvori Candidate QR and spremi a Pismeni test odgovor,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder",U Consulting kandidáta uložit návrh reportu a pilot/archive placeholder,"For Consulting Candidate, spremi izvjestaj nacrt and pilot/archive placeholder","Protected term(s): Candidate, Consulting, pilot/archive placeholder. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Otevřít Examiner QR a uložit outdoor skóre a poznámku,otvori Examiner QR and spremi outdoor score and note,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
pilot.smoke.preview,Load Evaluation Preview,Načíst Evaluation Preview,ucitaj Pretpregled evaluacije,Target intentionally blank for reviewer translation.,needs_review
pilot.smoke.draftExport,Download Draft Export,Stáhnout Draft Export,preuzmi Draft Export,Protected term(s): Draft Export. Do not translate unless explicitly approved during review.,needs_review
pilot.smoke.auditExport,Download Centre Audit Package,Stáhnout Centre Audit Package,preuzmi Centre Audit Package,"Protected term(s): Centre, Centre Audit Package. Do not translate unless explicitly approved during review.",needs_review
pilot.release.title,Pilot release notes,Poznámky k pilotní verzi,Biljeske pilot izdanja,Target intentionally blank for reviewer translation.,needs_review
pilot.release.subtitle,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,Tento panel popisuje rozsah pilotního prototypu. Nejde o oficiální certifikační výstup VETcert.,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,Target intentionally blank for reviewer translation.,needs_review
pilot.release.available,Available in this pilot,Dostupné v tomto pilotu,dostupno in this pilot,Target intentionally blank for reviewer translation.,needs_review
pilot.release.notIncluded,Not included yet,Zatím není zahrnuto,Not included yet,Target intentionally blank for reviewer translation.,needs_review
help.candidate.title,Candidate quick help,Rychlá nápověda pro kandidáta,Candidate quick help,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
help.candidate.qr,Scan your personal Candidate QR issued by the Centre.,Naskenujte svůj osobní Candidate QR vydaný Centrem.,skeniraj your personal Candidate QR issued by the Centre.,"Protected term(s): Candidate, Centre, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
help.candidate.identity,Confirm your identity before opening sections.,Před otevřením sekcí potvrďte svou identitu.,potvrdi your identitet before opening odjeljci.,Target intentionally blank for reviewer translation.,needs_review
help.candidate.autosave,Written test answers autosave to the sync queue.,Odpovědi ve written test se automaticky ukládají do sync queue.,Pismeni test odgovori autosave to the sync queue.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
help.candidate.photos,"Consulting report photo entries are pilot/archive placeholders, not real uploads yet.","Foto položky v Consulting reportu jsou zatím pilot/archive placeholders, nejde o skutečný upload.","Consulting izvjestaj photo entries are pilot/archive placeholders, not real uploads yet.","Protected term(s): Consulting, pilot/archive placeholder. Do not translate unless explicitly approved during review.",needs_review
help.candidate.ask,"If something looks wrong, ask Centre staff before final submit.","Pokud něco vypadá špatně, před finálním odesláním se zeptejte personálu Centra.","If something looks wrong, ask Centre staff before final posalji.",Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
help.examiner.title,Examiner quick help,Rychlá nápověda pro zkoušejícího,Examiner quick help,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
help.examiner.qr,Scan your personal Examiner QR issued by the Centre.,Naskenujte svůj osobní Examiner QR vydaný Centrem.,skeniraj your personal Examiner QR issued by the Centre.,"Protected term(s): Examiner, Centre, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
help.examiner.identity,Confirm your identity before opening outdoor forms.,Před otevřením outdoor forms potvrďte svou identitu.,potvrdi your identitet before opening outdoor forms.,Target intentionally blank for reviewer translation.,needs_review
help.examiner.assigned,Only assigned Candidates are shown.,Zobrazují se pouze přiřazení kandidáti.,Only dodijeljeno Candidates are prikazano.,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
help.examiner.primary,Primary Examiner completes the full outdoor form; Secondary input is supporting.,Primary Examiner vyplňuje celý outdoor form; Secondary input je podpůrný.,Primary Examiner completes the full outdoor form; Secondary input is pomocno.,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
help.examiner.autosave,Scores and notes autosave to the sync queue.,Skóre a poznámky se automaticky ukládají do sync queue.,Scores and notes autosave to the sync queue.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
help.examiner.missing,"If assigned Candidates are missing, ask the Centre to assign and save Centre Setup.","Pokud přiřazení kandidáti chybí, požádejte Centrum o přiřazení a uložení Centre Setup.","If dodijeljeno Candidates are nedostaje, ask the Centre to assign and spremi Centre Setup.","Protected term(s): Candidate, Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.validation.title,Centre Setup checks,Kontroly Centre Setup,Centre Setup checks,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.validation.ready,Ready for pilot smoke test,Připraveno pro pilotní smoke test,spremno for pilot smoke test,Target intentionally blank for reviewer translation.,needs_review
centre.validation.action,Action required before pilot smoke test,Před pilotním smoke testem je potřeba zásah,Action potrebno before pilot smoke test,Target intentionally blank for reviewer translation.,needs_review
centre.validation.helper,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Chyby je vhodné opravit před distribucí QR odkazů. Varování lze vyhodnotit během přípravy pilotu.,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Target intentionally blank for reviewer translation.,needs_review
centre.validation.empty,No validation issues. Setup is ready for pilot smoke test.,Žádné validační problémy. Setup je připraven pro pilotní smoke test.,ne validation issues. Setup is spremno for pilot smoke test.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.title,Pilot readiness guardrails,Pilotní guardrails připravenosti,Smjernice spremnosti pilota,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.helper,"These guardrails do not block demo testing, but they should be resolved before a real pilot run.","Tyto guardrails neblokují demo testování, ale před reálným pilotem by měly být vyřešeny.","These guardrails do not block demo testing, but they should be resolved before a real pilot run.",Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.ready,Pilot readiness looks good.,Pilotní připravenost vypadá dobře.,Pilot readiness looks good.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.validation,Fix validation errors before distributing QR links.,Opravte validační chyby před distribucí QR odkazů.,Fix validation errors before distributing QR links.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.unsaved,Save Centre Setup before distributing QR links.,Uložte Centre Setup před distribucí QR odkazů.,spremi Centre Setup before distributing QR links.,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.guardrails.testPackage,Import/select a test package before written test pilot runs.,Importujte/vyberte testový balíček před pilotním během written test.,uvezi/select a test paket before Pismeni test pilot runs.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.backend,Load backend Centre Setup before pilot testing with real users.,Před testováním s reálnými uživateli načtěte backendový Centre Setup.,ucitaj backend Centre Setup before pilot testing with real users.,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.run.title,Pilot run summary,Souhrn pilotního běhu,Sazetak pilot provedbe,Target intentionally blank for reviewer translation.,needs_review
centre.run.helper,Use this summary before sharing Candidate or Examiner QR links.,Použijte tento souhrn před sdílením Candidate QR nebo Examiner QR odkazů.,Use this sazetak before sharing Candidate or Examiner QR links.,"Protected term(s): Candidate, Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
centre.run.dataMode,Data mode,Datový režim,Data mode,Target intentionally blank for reviewer translation.,needs_review
centre.run.setup,Centre Setup,Centre Setup,Centre Setup,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.run.validation,Validation,Validace,Validation,Target intentionally blank for reviewer translation.,needs_review
centre.run.testPackage,Test package,Testový balíček,Test paket,Target intentionally blank for reviewer translation.,needs_review
centre.run.qrDistribution,QR distribution,Distribuce QR,QR distribution,Target intentionally blank for reviewer translation.,needs_review
centre.run.backend,backend-loaded pilot data,backend-loaded pilot data,backend-loaded pilot data,Protected term(s): backend-loaded pilot data. Do not translate unless explicitly approved during review.,needs_review
centre.run.demo,demo fallback data,demo fallback data,demo fallback data,Protected term(s): demo fallback data. Do not translate unless explicitly approved during review.,needs_review
centre.run.saved,Saved / no local changes,Uloženo / žádné lokální změny,spremljeno / ne lokalno changes,Target intentionally blank for reviewer translation.,needs_review
centre.run.unsaved,Unsaved local changes,Neuložené lokální změny,Unsaved lokalno changes,Target intentionally blank for reviewer translation.,needs_review
centre.run.imported,Imported,Importováno,uvezeno,Target intentionally blank for reviewer translation.,needs_review
centre.run.missing,Missing,Chybí,nedostaje,Target intentionally blank for reviewer translation.,needs_review
centre.run.qrReady,Ready after setup is saved and backend-loaded,Připraveno po uložení setupu a načtení backendových dat,spremno after setup is spremljeno and backend-ucitano,Target intentionally blank for reviewer translation.,needs_review
centre.run.review,Review guardrails,Zkontrolovat guardrails,pregledaj guardrails,Target intentionally blank for reviewer translation.,needs_review
centre.network.title,Network readiness checklist,Kontrola připravenosti sítě,Kontrolni popis spremnosti mreze,Target intentionally blank for reviewer translation.,needs_review
centre.network.helper,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,Použijte před distribucí Candidate QR a Examiner QR odkazů během pilotní zkoušky.,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,"Protected term(s): Candidate, Examiner, Candidate QR, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.wifi,Stable Wi-Fi/router is running,Stabilní Wi-Fi/router běží,Stable Wi-Fi/router is running,Target intentionally blank for reviewer translation.,needs_review
centre.network.internet,Internet access works on tablets,Internet na tabletech funguje,Internet access works on tablets,Target intentionally blank for reviewer translation.,needs_review
centre.network.url,Deployed VetBara URL opens on tablets,Nasazená URL VetBara se otevře na tabletech,Deployed VetBara URL opens on tablets,Target intentionally blank for reviewer translation.,needs_review
centre.network.centreQr,Centre QR/session opens,Centre QR/session se otevře,Centre QR/session opens,"Protected term(s): Centre, Centre QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.candidateQr,Candidate QR opens on a tablet,Candidate QR se otevře na tabletu,Candidate QR opens on a tablet,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.examinerQr,Examiner QR opens on a tablet,Examiner QR se otevře na tabletu,Examiner QR opens on a tablet,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.setup,Save/Load Centre Setup tested,Save/Load Centre Setup otestováno,spremi/ucitaj Centre Setup tested,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.network.sync,Sync/Audit panel checked,Sync/Audit panel zkontrolován,Sync/Audit panel checked,Target intentionally blank for reviewer translation.,needs_review
centre.network.export,Export download tested,Stažení exportu otestováno,izvezi preuzmi tested,Target intentionally blank for reviewer translation.,needs_review
qr.title,Centre / QR access pack,Centrum / QR access pack,Centre / QR access pack,Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
qr.subtitle,Give each Candidate or Examiner only their own Candidate QR or Examiner QR link. Backend-loaded QR URLs appear after Load/Save Centre Setup; demo fallback QR links are for local prototype testing only.,Každému kandidátovi nebo zkoušejícímu předejte pouze jeho vlastní Candidate QR nebo Examiner QR odkaz. Backend-loaded QR URL se zobrazí po Load/Save Centre Setup; demo fallback QR odkazy jsou jen pro lokální testování prototypu.,Give each Candidate or Examiner only their own Candidate QR or Examiner QR poveznica. backend-ucitano QR URLs appear after ucitaj/spremi Centre Setup; demo fallback QR links are for lokalno prototype testing only.,"Protected term(s): Candidate, Examiner, Centre, Centre Setup, Candidate QR, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
qr.candidateLinks,Candidate QR links,Candidate QR odkazy,Candidate QR links,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
qr.examinerLinks,Examiner QR links,Examiner QR odkazy,Examiner QR links,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
qr.copy,Copy link,Kopírovat odkaz,Kopiraj poveznicu,Target intentionally blank for reviewer translation.,needs_review
qr.candidateBackend,backend-loaded Candidate QR,backend-loaded Candidate QR,backend-ucitano Candidate QR,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
qr.candidateDemo,demo fallback Candidate QR,demo fallback Candidate QR,demo fallback Candidate QR,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
qr.examinerBackend,backend-loaded Examiner QR,backend-loaded Examiner QR,backend-ucitano Examiner QR,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
qr.examinerDemo,demo fallback Examiner QR,demo fallback Examiner QR,demo fallback Examiner QR,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
common.scanQr,Scan QR,Skenovat QR,skeniraj QR,Target intentionally blank for reviewer translation.,needs_review
common.loggedIn,Logged in,Přihlášeno,Logged in,Target intentionally blank for reviewer translation.,needs_review
common.logout,Logout,Odhlásit,Logout,Target intentionally blank for reviewer translation.,needs_review
candidate.view.title,Candidate / Tablet login and workspace,Kandidát / Přihlášení na tabletu a pracovní prostor,Candidate / tablet login and workspace,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.view.subtitle,"Candidate opens only their own QR workspace, confirms identity, then completes each exam section.","Kandidát otevře pouze svůj vlastní QR pracovní prostor, potvrdí identitu a poté dokončí jednotlivé části zkoušky.","Candidate opens only their own QR workspace, confirms identitet, then completes each exam odjeljak.",Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.qrAccess.title,Candidate QR access,Přístup přes Candidate QR,Candidate QR access,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
candidate.qrAccess.helper,Scan the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,Naskenujte osobní QR vydaný Centrem. Tento portál zobrazuje pouze aktuální pracovní prostor kandidáta.,skeniraj the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,"Protected term(s): Candidate, Centre. Do not translate unless explicitly approved during review.",needs_review
candidate.empty,No Candidate is logged in. Scan the personal Candidate QR issued by the Centre.,Není přihlášen žádný kandidát. Naskenujte osobní Candidate QR vydaný Centrem.,ne Candidate is logged in. skeniraj the personal Candidate QR issued by the Centre.,"Protected term(s): Candidate, Centre, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
examiner.view.title,Examiner / Landing page and Outdoor exercises,Zkoušející / Úvodní stránka a outdoor cvičení,Examiner / Landing page and outdoor exercises,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.view.subtitle,"Examiner logs in, confirms identity, sees assigned candidates and opens outdoor forms.","Zkoušející se přihlásí, potvrdí identitu, vidí přiřazené kandidáty a otevírá outdoor formuláře.","Examiner logs in, confirms identitet, sees dodijeljeno kandidati and opens outdoor forms.",Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.qrAccess.title,Examiner QR access,Přístup přes Examiner QR,Examiner QR access,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
examiner.qrAccess.helper,Scan the personal Examiner QR issued by the Centre. This portal only shows assigned Candidate work.,Naskenujte osobní Examiner QR vydaný Centrem. Tento portál zobrazuje pouze přiřazenou práci kandidátů.,skeniraj the personal Examiner QR issued by the Centre. This portal only shows dodijeljeno Candidate work.,"Protected term(s): Candidate, Examiner, Centre, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
examiner.empty,No Examiner is logged in. Scan the personal Examiner QR issued by the Centre.,Není přihlášen žádný zkoušející. Naskenujte osobní Examiner QR vydaný Centrem.,ne Examiner is logged in. skeniraj the personal Examiner QR issued by the Centre.,"Protected term(s): Examiner, Centre, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
candidate.identity.title,Confirm identity,Potvrzení identity,Potvrdi identitet,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.helper,Check your name and document details before opening exam sections.,Před otevřením částí zkoušky zkontrolujte své jméno a údaje dokladu.,Check your ime and dokument details before opening exam odjeljci.,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.confirm,Confirm identity,Potvrdit identitu,Potvrdi identitet,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.title,Exam sections,Části zkoušky,Exam odjeljci,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.open,Open section,Otevřít část,otvori odjeljak,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.reopen,Reopen section,Znovu otevřít část,Reopen odjeljak,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.closed,Closed,Uzavřeno,Closed,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.opened,Open,Otevřeno,otvori,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.locked,Locked,Zamčeno,Locked,Target intentionally blank for reviewer translation.,needs_review
test.title,Written test,Písemný test,Pismeni test,Target intentionally blank for reviewer translation.,needs_review
test.helper,Answer the questions for the selected variant. Answers are saved to the sync queue.,Odpovězte na otázky vybrané varianty. Odpovědi se ukládají do sync queue.,odgovor the pitanja for the odabrano varijanta. odgovori are spremljeno to the sync queue.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
test.noQuestions,No written test questions are available for this variant.,Pro tuto variantu nejsou dostupné žádné otázky písemného testu.,ne Pismeni test pitanja are dostupno for this varijanta.,Target intentionally blank for reviewer translation.,needs_review
test.answer,Answer,Odpověď,odgovor,Target intentionally blank for reviewer translation.,needs_review
test.save,Save answer,Uložit odpověď,spremi odgovor,Target intentionally blank for reviewer translation.,needs_review
test.submit,Submit and close written test,Odeslat a uzavřít písemný test,posalji and zatvori Pismeni test,Target intentionally blank for reviewer translation.,needs_review
